epoch,train_mse,val_mse,sparsity_l1,tv_loss
1,0.17127609128753343,0.12226523583134015,0.43324996299213836,0.24570541712972854
2,0.04125345523158709,0.056158157686392464,0.34703570670551726,0.25613730450471245
3,0.03129040230479505,0.03133540041744709,0.31766573190689085,0.2416364832056893
4,0.02565546499358283,0.03885039997597536,0.3034488406446245,0.235451027419832
5,0.023875224900742373,0.02968372715016206,0.2885688351260291,0.2263463553455141
6,0.025931922915495103,0.031091088894754648,0.2610713889201482,0.21015978753566741
7,0.022535348787075943,0.025066723115742207,0.2143276443084081,0.18067624436484442
8,0.019892848045047786,0.0257529120426625,0.18141886625025008,0.15636449191305374
9,0.017320992228471572,0.02449220430571586,0.15669034785694547,0.13624003065956963
10,0.01659233586655723,0.025495446442315977,0.1371421304013994,0.11788280506928762
11,0.01499185474175546,0.031575418853511415,0.12198069526089562,0.10416492968797683
12,0.016987784807052878,0.02729490919349094,0.10622359961271285,0.08936037321885427
13,0.013845998545487721,0.02646950997101764,0.08974145419067807,0.07402341680394278
14,0.012933226943843894,0.023468579864129424,0.08140286770131853,0.06715953416294522
15,0.011106134237100681,0.024710428435355425,0.0773039095931583,0.06283461492922571
16,0.011013067534400357,0.022657408844679594,0.07329917367961672,0.059085657861497665
17,0.00944674534516202,0.02469349877598385,0.06998483604855008,0.055997387319803235
18,0.009446456221242745,0.028470685550322134,0.06645150283972422,0.052590767045815785
19,0.009815136208716366,0.027376743964850903,0.06296494950850805,0.04932874134845204
20,0.00895925786656638,0.02493500104174018,0.0596268553700712,0.046117375046014784
