Model,ModelKey,Seed,Best_Val_MSE
NVIDIA_PilotNet,pilotnet,42,0.023610993521288037
Vanilla_ResNet18,resnet18,42,0.021498574875295162
CBAM_ResNet18,cbam,42,0.021875140955671668
Additive_SoftAttention_Ablation,soft_attn,42,0.02309632518639167
Proposed_GAB_Net,gabnet,42,0.021725503262132406
NVIDIA_PilotNet,pilotnet,1337,0.02272207522764802
Vanilla_ResNet18,resnet18,1337,0.021582004458953936
CBAM_ResNet18,cbam,1337,0.02056787027201305
Additive_SoftAttention_Ablation,soft_attn,1337,0.022657408844679594
Proposed_GAB_Net,gabnet,1337,0.022714864928275347
NVIDIA_PilotNet,pilotnet,2026,0.02232881720798711
Vanilla_ResNet18,resnet18,2026,0.021949053625576198
CBAM_ResNet18,cbam,2026,0.023139915739496548
Additive_SoftAttention_Ablation,soft_attn,2026,0.02023695611084501
Proposed_GAB_Net,gabnet,2026,0.022216872389738757
